student_id,test_type,test_date,test_subscore,test_subscore_type,is_test_subscore_numeric,entry_mode,entry_date,test_subscore_numeric,max_test_subscore_rank,min_entry_date_rank,test_subscore_highest,test_subscore_percentile
520336,GRE2011,2016-04-11,3.5,ANALYTWRIT,Y,,2016-10-17,3.5,1,1,3.5,38
520336,GRE2011,2016-04-11,145,QUAN2011,Y,,2016-10-17,145.0,1,1,145.0,21
520336,GRE2011,2016-04-11,150,VERB2011,Y,,2016-10-17,150.0,1,1,150.0,45
520363,GRE2011,2017-06-08,4.5,ANALYTWRIT,Y,ELEC,2017-06-27,4.5,1,1,4.5,82
520363,GRE2011,2017-06-08,150,QUAN2011,Y,ELEC,2017-06-27,150.0,1,1,150.0,39
520363,GRE2011,2017-06-08,154,VERB2011,Y,ELEC,2017-06-27,154.0,1,1,154.0,64
520503,GRE2011,2018-02-23,4.0,ANALYTWRIT,Y,ELEC,2018-10-13,4.0,1,1,4.0,60
520503,GRE2011,2018-02-23,131,QUAN2011,Y,ELEC,2018-10-13,131.0,1,1,131.0,1
520503,GRE2011,2018-02-23,150,VERB2011,Y,ELEC,2018-10-13,150.0,1,1,150.0,48
520611,GRE2011,2018-06-23,5.5,ANALYTWRIT,Y,ELEC,2018-08-17,5.5,1,1,5.5,98
520611,GRE2011,2018-06-23,150,QUAN2011,Y,ELEC,2018-08-17,150.0,1,1,150.0,38
520611,GRE2011,2018-06-23,157,VERB2011,Y,ELEC,2018-08-17,157.0,1,1,157.0,76
520768,GRE2011,2018-12-08,3.5,ANALYTWRIT,Y,ELEC,2019-01-02,3.5,1,1,3.5,41
520768,GRE2011,2018-12-08,135,QUAN2011,Y,ELEC,2019-01-02,135.0,1,1,135.0,2
520768,GRE2011,2018-12-08,142,VERB2011,Y,ELEC,2019-01-02,142.0,1,1,142.0,17
520910,GRE2011,2019-02-02,4.5,ANALYTWRIT,Y,ELEC,2019-02-15,4.5,1,1,4.5,82
520910,GRE2011,2019-02-02,141,QUAN2011,Y,ELEC,2019-02-15,141.0,1,1,141.0,10
520910,GRE2011,2019-02-02,149,VERB2011,Y,ELEC,2019-02-15,149.0,1,1,149.0,42
520938,GRE2011,2019-04-26,3.5,ANALYTWRIT,Y,ELEC,2019-05-13,3.5,1,1,3.5,41
520938,GRE2011,2019-04-26,151,QUAN2011,Y,ELEC,2019-05-13,151.0,1,1,151.0,42
520938,GRE2011,2019-04-26,156,VERB2011,Y,ELEC,2019-05-13,156.0,1,1,156.0,73
520999,GRE2011,2016-04-27,3.5,ANALYTWRIT,Y,ELEC,2016-05-10,3.5,1,1,3.5,38
520999,GRE2011,2016-04-27,145,QUAN2011,Y,ELEC,2016-05-10,145.0,1,1,145.0,21
520999,GRE2011,2016-04-27,153,VERB2011,Y,ELEC,2016-05-10,153.0,1,1,153.0,59
521270,GRE2011,2017-06-23,3.0,ANALYTWRIT,Y,ELEC,2017-07-20,3.0,1,1,3.0,18
521270,GRE2011,2017-06-23,133,QUAN2011,Y,ELEC,2017-07-20,133.0,1,1,133.0,1
521270,GRE2011,2017-06-23,145,VERB2011,Y,ELEC,2017-07-20,145.0,1,1,145.0,27
521299,GRE2011,2017-01-30,4.0,ANALYTWRIT,Y,ELEC,2017-02-10,4.0,1,1,4.0,59
521299,GRE2011,2017-01-30,142,QUAN2011,Y,ELEC,2017-02-10,142.0,1,1,142.0,12
521299,GRE2011,2017-01-30,156,VERB2011,Y,ELEC,2017-02-10,156.0,1,1,156.0,72
521386,GRE2011,2015-03-26,4.0,ANALYTWRIT,Y,ELEC,2015-08-10,4.0,1,1,4.0,56
521386,GRE2011,2015-03-26,137,QUAN2011,Y,ELEC,2015-08-10,137.0,1,1,137.0,3
521386,GRE2011,2015-03-26,152,VERB2011,Y,ELEC,2015-08-10,152.0,1,1,152.0,54
521492,GRE2011,2017-07-01,4.5,ANALYTWRIT,Y,ELEC,2017-07-20,4.5,1,1,4.5,82
521492,GRE2011,2017-07-01,146,QUAN2011,Y,ELEC,2017-07-20,146.0,1,1,146.0,24
521492,GRE2011,2017-07-01,165,VERB2011,Y,ELEC,2017-07-20,165.0,1,1,165.0,96
521682,GRE2011,2016-06-14,3.5,ANALYTWRIT,Y,,2016-10-17,3.5,1,1,3.5,38
521682,GRE2011,2016-06-14,153,QUAN2011,Y,,2016-10-17,153.0,1,1,153.0,52
521682,GRE2011,2016-06-14,151,VERB2011,Y,,2016-10-17,151.0,1,1,151.0,50
521693,GRE2011,2015-03-31,4.5,ANALYTWRIT,Y,ELEC,2015-04-13,4.5,1,1,4.5,80
521693,GRE2011,2015-03-31,147,QUAN2011,Y,ELEC,2015-04-13,147.0,1,1,147.0,28
521693,GRE2011,2015-03-31,156,VERB2011,Y,ELEC,2015-04-13,156.0,1,1,156.0,71
521701,GRE2011,2018-03-15,4.0,ANALYTWRIT,Y,ELEC,2019-07-04,4.0,1,1,4.0,59
521701,GRE2011,2018-03-15,145,QUAN2011,Y,ELEC,2019-07-04,145.0,1,1,145.0,20
521701,GRE2011,2018-03-15,152,VERB2011,Y,ELEC,2019-07-04,152.0,1,1,152.0,56
521865,GRE2011,2015-06-13,4.0,ANALYTWRIT,Y,ELEC,2015-06-30,4.0,1,1,4.0,56
521865,GRE2011,2015-06-13,152,QUAN2011,Y,ELEC,2015-06-30,152.0,1,1,152.0,48
521865,GRE2011,2015-06-13,162,VERB2011,Y,ELEC,2015-06-30,162.0,1,1,162.0,89
522118,GRE2011,2015-11-10,2.0,ANALYTWRIT,Y,ELEC,2015-11-25,2.0,1,1,2.0,2
522118,GRE2011,2015-11-10,145,QUAN2011,Y,ELEC,2015-11-25,145.0,1,1,145.0,21
522118,GRE2011,2015-11-10,147,VERB2011,Y,ELEC,2015-11-25,147.0,1,1,147.0,33
522212,GRE2011,2018-07-10,4.0,ANALYTWRIT,Y,ELEC,2018-11-05,4.0,1,1,4.0,59
522212,GRE2011,2018-07-10,152,QUAN2011,Y,ELEC,2018-11-05,152.0,1,1,152.0,46
522212,GRE2011,2018-07-10,159,VERB2011,Y,ELEC,2018-11-05,159.0,1,1,159.0,83
522236,GRE2011,2016-05-09,3.5,ANALYTWRIT,Y,ELEC,2016-05-19,3.5,1,1,3.5,38
522236,GRE2011,2016-05-09,151,QUAN2011,Y,ELEC,2016-05-19,151.0,1,1,151.0,45
522236,GRE2011,2016-05-09,148,VERB2011,Y,ELEC,2016-05-19,148.0,1,1,148.0,37
522407,GRE2011,2016-02-26,4.0,ANALYTWRIT,Y,ELEC,2016-10-07,4.0,1,1,4.0,59
522407,GRE2011,2016-02-26,148,QUAN2011,Y,ELEC,2016-10-07,148.0,1,1,148.0,31
522407,GRE2011,2016-02-26,155,VERB2011,Y,ELEC,2016-10-07,155.0,1,1,155.0,68
522462,GRE2011,2017-11-11,4.0,ANALYTWRIT,Y,ELEC,2017-12-04,4.0,1,1,4.0,60
522462,GRE2011,2017-11-11,147,QUAN2011,Y,ELEC,2017-12-04,147.0,1,1,147.0,27
522462,GRE2011,2017-11-11,149,VERB2011,Y,ELEC,2017-12-04,149.0,1,1,149.0,43
522500,GRE2011,2017-03-24,5.0,ANALYTWRIT,Y,ELEC,2018-12-20,5.0,1,1,5.0,93
522500,GRE2011,2017-03-24,166,QUAN2011,Y,ELEC,2018-12-20,166.0,1,1,166.0,91
522500,GRE2011,2017-03-24,168,VERB2011,Y,ELEC,2018-12-20,168.0,1,1,168.0,98
522574,GRE2011,2018-08-11,3.0,ANALYTWRIT,Y,ELEC,2018-08-24,3.0,1,1,3.0,17
522574,GRE2011,2018-08-11,131,QUAN2011,Y,ELEC,2018-08-24,131.0,1,1,131.0,1
